"BLING BLING", "БЛИНГ БЛИНГ"
"This should be", "Это должно быть"
"Selected div is", "Выбранный див"
"String", "Строка"
"This block has a child", "У этого блока есть дети"
"This block is inside another block and has padding", "Этот блок что-то что-то блаблабла"
"This block is inside another block and has even more padding", "Перевод"
"This info was taken from view.xml because the argument was not specified", "Это фолбечный текст из вью.ксмл"
"An email confirming your order will be sent to", "Письмо, потверждающее ваш заказ, будет отправлено по адресу"
"Reload Minicart", "Перезагрузить миникорзину"
"You have added something to the cart! Congrats!", "Вы добавили что-то в корзину! Поздравляю!"
